Title,Price,Link,Image URL,Description,Colour
2 Carat Lab Grown Diamond Ring - LGB008,"Rs.902,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/2-carat-lab-grown-diamond-ring-lgb001,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
1.5 Carat Lab Grown Diamond Ring - LGB007,"Rs.605,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/1-5-carat-lab-grown-diamond-ring-lgb006,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
1 Carat Lab Grown Diamond Ring - LGB006,"Rs.437,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/1-carat-lab-grown-diamond-ring-lgb006,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
0.50 Carat Lab Grown Diamond Ring - LGB005,"Rs.195,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/0-50-carat-lab-grown-diamond-ring-lgb005,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
1 Carat Lab Grown Diamond Ring - LGB004,"Rs.422,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb004,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
1.5 Carat Lab Grown Diamond Ring - LGB003,"Rs.590,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb003,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
2 Carat Lab Grown Diamond Ring - LGB002,"Rs.884,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb002,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
0.50 Carat Lab Grown Diamond Ring - LGB001,"Rs.180,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb001,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging,G+ Colour
Diamond Ring - DR81,"Rs.270,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr81,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging,H - Colour
Diamond Ring - DR80,"Rs.685,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr80,"No image URL available (Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#shopify-section-template--23321909330227__main > div.t4s-container.t4s-main-product__content.is--layout_default.t4s-product-media__thumbnails_left.t4s-product-thumb-size__medium > div > div > div > div.t4s-col-md-6.t4s-col-12.t4s-col-item.t4s-product__media-wrapper > div > div > t4s-col-lg.t4s-order-lg-last.t4s-col-12.t4s-col-item.t4s-pr > div.t4s-row.t4s-g-0.t4s-slide-eff-fade.flickityt4s.t4s_ratioadapt.t4s_position_8.t4s_cover.t4s-flicky-slider.t4s-slider-btn-true.t4s-slider-btn-style-outline.t4s-slider-btn-round.t4s-slider-btn-small.t4s-slider-btn-cl-dark.t4s-slider-btn-vi-always.t4s-slider-btn-hidden-mobile-false.flickityt4s-enabled.is-draggable.is-fade.t4s-enabled > div > div > div.t4s-col-12.t4s-col-item.t4s-product__media-item.is-selected > div > img""}
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x0071FD53+23747]
	(No symbol) [0x006A7D54]
	(No symbol) [0x0057BE53]
	(No symbol) [0x005BFCA6]
	(No symbol) [0x005BFEEB]
	(No symbol) [0x005FD852]
	(No symbol) [0x005E1E44]
	(No symbol) [0x005FB41E]
	(No symbol) [0x005E1B96]
	(No symbol) [0x005B3F3C]
	(No symbol) [0x005B4EBD]
	GetHandleVerifier [0x009FAC73+3017699]
	GetHandleVerifier [0x00A0B93B+3086507]
	GetHandleVerifier [0x00A040F2+3055714]
	GetHandleVerifier [0x007B5AF0+637536]
	(No symbol) [0x006B0A5D]
	(No symbol) [0x006ADA28]
	(No symbol) [0x006ADBC5]
	(No symbol) [0x006A07F0]
	BaseThreadInitThunk [0x76A4FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7759809E+286]
	RtlGetAppContainerNamedObjectPath [0x7759806E+238]
)",VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging,H - Colour
